Model,Metric,count,mean,std,q25,median,q75,min,max
LIF-128,MAE,800,0.009641970180840571,0.004422027046611095,0.006505223402547041,0.008554930636823999,0.011361718753963065,0.004183150767578515,0.06039942428751894
LIF-128,R2,800,0.9422836486919922,0.19891738936198558,0.9690976655668733,0.9901908295744775,0.9960921657308144,-1.458324594011065,0.9993832931416732
LIF-128,RMSE,800,0.01123072123372741,0.0045536937745148465,0.008108289663730754,0.01021283186934574,0.013004953520652666,0.0053078524965004545,0.06918605798352583
LIF-128,RelL2_pct,800,8.884925838446481,12.633598885984611,2.825326676250613,4.647914681431086,9.487644681541571,1.1003655418397464,102.06677762138612
LIF-32,MAE,800,0.021302562040864385,0.009579183312929658,0.015240719518051745,0.018850268360246256,0.02450110041536322,0.010710875728332648,0.17342217634811302
LIF-32,R2,800,0.7209418981544125,1.104792550055989,0.8447446112554345,0.9452483850514453,0.9779115660994218,-16.961349511972006,0.9969766637892322
LIF-32,RMSE,800,0.02575088403214023,0.010182076248188501,0.019214734149669933,0.02357271641313339,0.02976477098418822,0.013475516956645981,0.19032962175848894
LIF-32,RelL2_pct,800,19.767567296112702,29.2958413270389,6.621832349524944,10.827081637472377,21.362982060863384,2.351776621064369,394.5204053527928
LIF-64,MAE,800,0.01695452843029299,0.00789998510795572,0.011964319594880424,0.01592288624447509,0.020508415742849402,0.005724699591956745,0.14255389851787695
LIF-64,R2,800,0.8154859006174994,0.6374919342715832,0.8978165355292248,0.9669264357894648,0.9881934558152558,-7.161858113961374,0.9993529099988351
LIF-64,RMSE,800,0.019673424866878234,0.008296861373048296,0.014607784553234172,0.018756775239977527,0.023515468437599017,0.006901914713633953,0.1494696363757662
LIF-64,RelL2_pct,800,15.719997416800963,22.444806248336036,4.852446777082564,8.64034411875722,17.010253798772567,1.1174864705266103,264.00818553847
QIF,MAE,800,0.003031217104809378,0.0024867106574628997,0.00221383096798691,0.0025789589408154864,0.0031309338277256253,0.0015377863211738685,0.04458929208030007
QIF,R2,800,0.994570232098382,0.02137035637476288,0.997180548674256,0.9988075681048441,0.9995237063632904,0.6352087670180471,0.9999030902781759
QIF,RMSE,800,0.0037821777576226385,0.002841193521868324,0.0028174596325791076,0.0032420478860898166,0.003922746400705095,0.002022466270371445,0.05034027158095878
QIF,RelL2_pct,800,2.729853736293127,3.7872319643469563,0.9697593868071932,1.59487971096486,2.7917583218434143,0.4312878288155748,41.69326403734784
