Field,Model,MAE,RMSE,R2,RelL2_pct
u,LIF-128 (cal),0.006641342616928701,0.009544391334798688,0.9982229296684636,4.215531202038865
u,LIF-128 (conv),0.010974731975370881,0.016496202882909365,0.9946914474690136,7.28598142393065
u,LIF-32 (cal),0.005005373027940012,0.009131630904316816,0.9983733098413942,4.03322471306253
u,LIF-32 (conv),0.012855664316759437,0.01924214625028202,0.9927770407756433,8.498799458956796
u,LIF-64 (cal),0.005423717222240245,0.008047717467279473,0.9987365630236305,3.5544858648888775
u,LIF-64 (conv),0.009442199292532618,0.014488610429654613,0.9959049273465039,6.399275469532388
u,QIF,0.006272769738050493,0.009076770674885822,0.9983927965092735,4.008994251338458
v,LIF-128 (cal),0.006783317970768728,0.009849466341262473,0.9981075102254731,4.350275594174312
v,LIF-128 (conv),0.007571531143083221,0.012305323765953752,0.9970461105980716,5.434969550906677
v,LIF-32 (cal),0.005906506130055464,0.011148827078565442,0.9975752526143902,4.924172403165583
v,LIF-32 (conv),0.006287299034960934,0.011040519516950733,0.9976221351868014,4.876335522909126
v,LIF-64 (cal),0.0068935855118815925,0.010173486271683737,0.9979809468687367,4.493387509733895
v,LIF-64 (conv),0.007868477126764386,0.01116536974590612,0.997568051579141,4.931478906838092
v,QIF,0.005201571196901777,0.007474050109027432,0.9989102668782802,3.3011106035994953
